ID,Fecha_Venta,Departamento,Ciudad,Categoría,Subcategoría,Nombre_Producto,Precio,Cantidad,Total_Venta,Tipo_Venta,Estado_Producto,Método_Pago,Cliente,Email_Cliente,Teléfono,Entrega,Opinión
cbc5b42a-09fb-4cbe-80f9-34ca499081bb,25/9/2024,Río Negro,Fray Bentos,Ropa,Pantalones,Jeans,72848.84,10.0,728488.4,Marketplace,Nuevo,Cripto,Guadalupe de Zorrilla,romanmaximo@gmail.com,+34 648191124,Envío a domicilio,Mala
587d0a26-e6b4-49bd-8e25-069f5b70f67e,28/12/2024,Artigas,Artigas,Hogar,Decoración,Espejo de Pared,36559.57,6.0,219357.42,Particular,Nuevo,Transferencia,Pía Alemany Roma,saldanacustodia@pinedo.com,+34 680 640 861,Retiro en local,Excelente
93cf1a06-6047-49c9-a6e4-3cd10859d033,5/7/2024,Maldonado,Maldonado,Deportes,Accesorios,Botella de Agua,26822.24,9.0,241400.16,Marketplace,Nuevo,Efectivo,Fausto Rey,penaulises@gmail.com,+34 731 031 734,Retiro en local,Mala
cce24b61-94f7-4648-ace3-579b00818d9a,10/10/2024,Artigas,Bella Unión,Juguetes,Puzzles,Puzzle 1000 piezas,97543.48,7.0,682804.36,Tienda oficial,Nuevo,Transferencia,Vanesa Avilés-Vigil,dorallado@hotmail.com,+34 955 65 19 36,Envío a domicilio,Buena
5598c587-eb8a-418c-a269-baded01d2d93,13/10/2024,Cerro Largo,Río Branco,Belleza,Cuidado Facial,Crema Hidratante,40377.49,4.0,161509.96,Particular,Usado,Transferencia,Lalo Cruz Rivero,querolbelen@pareja.es,+34 707 846 568,Retiro en local,Buena
efdba386-4598-4089-939b-a7b04fbd4ffc,29/4/2025,Florida,Florida,Alimentos,Lácteos,Queso Colonia,80130.5,7.0,560913.5,Particular,Usado,Tarjeta,Eugenio Sandalio Mesa Montserrat,usalinas@hotmail.com,+34701 775 715,Envío a domicilio,Buena
e8e19e9f-4fd5-41a1-9f14-32f5a7b5376c,10/12/2024,Florida,Sarandí Grande,Automotriz,Neumáticos,Michelin,69084.78,6.0,414508.68,Marketplace,Usado,Transferencia,Saturnina Gema Navarrete Diego,jordiesteban@arregui.com,34879927634,Retiro en local,Buena
4b591887-0d6e-4bc6-a6bd-fe7a6e8ee5dc,2/12/2024,Montevideo,Montevideo,Belleza,Perfumes,Carolina Herrera,63012.92,5.0,315064.6,Marketplace,Reacondicionado,Efectivo,Isaura de Albero,jtudela@gmail.com,+34 683 68 77 23,Envío a domicilio,Excelente
eb4efa03-a2d3-4e82-b3a9-12a8a5e477b2,22/8/2024,Montevideo,Santiago Vázquez,Salud,Vitaminas,Vitamina C,5959.14,4.0,23836.56,Particular,Usado,Tarjeta,Fabiola del Acedo,teredelgado@hotmail.com,+34 732 776 495,Retiro en local,Excelente
62c100c9-2b0e-4725-9389-498d952ef8ad,1/6/2025,Flores,Trinidad,Automotriz,Aceites,Castrol,89658.11,6.0,537948.66,Tienda oficial,Reacondicionado,Tarjeta,José Linares Aliaga,rico90@hotmail.com,34714847231,Envío a domicilio,Excelente
bc5e1551-4a9f-4e11-8905-54cc5645a9a0,24/4/2025,Colonia,Carmelo,Salud,Primeros Auxilios,Botiquín,79143.64,6.0,474861.84,Tienda oficial,Reacondicionado,Tarjeta,Eufemia Pelayo Campillo,azucenapoza@gimenez.com,+34720 69 99 48,Envío a domicilio,Excelente
c0923339-31c4-49d0-ba93-83510f4726e5,6/1/2025,Treinta y Tres,José Pedro Varela,Deportes,Calzado,Zapatillas deportivas,65291.22,8.0,522329.76,Tienda oficial,Nuevo,Transferencia,Rosendo Carretero Cuenca,goicoecheabenigno@yahoo.com,34717890831,Retiro en local,Excelente
18ad02e4-fbc2-4fd6-9223-cc0cd6d2d1d1,18/9/2024,Soriano,Mercedes,Alimentos,Bebidas,Refresco Cola,58044.62,7.0,406312.34,Particular,Reacondicionado,Cripto,Flor Camacho Santiago,csancho@salas-jordan.com,+34711 712 125,Retiro en local,Regular
a71fd20f-08a8-482f-a69e-7930331e46f4,21/4/2025,Durazno,Durazno,Hogar,Jardinería,Cortadora de Césped,92353.18,10.0,923531.8,Particular,Reacondicionado,Efectivo,Rolando Calvet Real,segoviaherminio@yahoo.com,34686027628,Envío a domicilio,Mala
1219b532-f565-461a-b27e-4433dc27bcd8,17/1/2025,Lavalleja,José Batlle y Ordóñez,Salud,Cuidado Personal,Cepillo de Dientes Eléctrico,32470.6,2.0,64941.2,Marketplace,Usado,Transferencia,Segismundo España Cañizares,amornoguera@hotmail.com,+34 738 160 777,Retiro en local,Buena
570d1d95-07e9-4eeb-b14f-9dcaec982637,13/3/2025,Artigas,Tomás Gomensoro,Alimentos,Panadería,Pan de Campo,5902.94,1.0,5902.94,Marketplace,Reacondicionado,Efectivo,Raquel Verdejo Baeza,guadalupe95@jorda.com,+34 711 616 589,Retiro en local,Buena
058905e9-d39b-448c-b575-9007d2a4ae17,11/12/2024,Cerro Largo,Isidoro Noblía,Juguetes,Juegos de Mesa,Monopoly,4328.63,5.0,21643.15,Marketplace,Usado,Efectivo,Benigna Galan Bautista,qaroca@gmail.com,+34 624877245,Retiro en local,Buena
d037dd9b-87cb-4af2-9692-2e4874d3fc60,26/8/2024,Cerro Largo,Fraile Muerto,Deportes,Camping,Carpa para 4 personas,33002.12,9.0,297019.08,Particular,Nuevo,Transferencia,Úrsula Barroso-Benavente,gloria43@peiro.com,+34 908 895 389,Retiro en local,Excelente
28d10dde-4ff0-45f1-806b-3563c61aecd0,13/11/2024,Montevideo,Montevideo,Hogar,Cocina,Olla a Presión,53166.16,9.0,478495.44,Tienda oficial,Usado,Transferencia,Flavio Moles,zaragones@riera-cobo.com,+34 973 52 78 60,Retiro en local,Regular
1d7181d1-9343-44b5-bfc5-0f8e92e00fa9,4/10/2024,San José,San José de Mayo,Automotriz,Frenos,Pastillas de Freno,91169.86,2.0,182339.72,Tienda oficial,Reacondicionado,Efectivo,Joaquín Pineda Llorens,clarisa17@yahoo.com,+34624 809 320,Envío a domicilio,Buena
954ee7eb-0589-4b2d-ad5c-44e970b26c28,19/4/2025,Durazno,Sarandí del Yi,Libros,Historia,Sapiens,80860.45,2.0,161720.9,Tienda oficial,Usado,Transferencia,Segismundo Prado-Sans,calistoballesteros@yahoo.com,+34746 66 29 00,Envío a domicilio,Excelente
5bf00ff6-c1a4-4616-b398-83ba8d634cab,19/6/2025,Durazno,Cerro Chato,Ropa,Camisetas,Remera Algodón,31155.51,5.0,155777.55,Marketplace,Reacondicionado,Cripto,Danilo Valencia Martinez,cosmeripoll@cantero.es,+34 888 267 932,Retiro en local,Excelente
0f2b2d75-5c9a-4603-b843-55953be37417,9/5/2025,Maldonado,Punta del Este,Deportes,Natación,Gafas de Natación,35505.23,9.0,319547.07,Marketplace,Reacondicionado,Transferencia,Marina de Montaña,ritapou@paez.com,34729596363,Retiro en local,Mala
cca718ef-d566-45f6-b38c-1f104b7db237,5/9/2024,Cerro Largo,Aceguá,Belleza,Cuidado del Cabello,Shampoo,93093.65,4.0,372374.6,Marketplace,Usado,Cripto,Emperatriz Heredia Benítez,albanocuevas@yahoo.com,+34 716 877 580,Envío a domicilio,Buena
66e1abe5-47bc-4b4a-9b43-47e4fb6dca8a,2/10/2024,San José,Libertad,Hogar,Jardín,Manguera de Riego,25737.28,5.0,128686.4,Tienda oficial,Usado,Transferencia,Ana Mayol Castells,juan-luis55@yahoo.com,+34 727 97 34 79,Retiro en local,Excelente
07d477c4-b7ed-4a97-94cd-d1fa2842320e,13/1/2025,Durazno,Villa del Carmen,Belleza,Perfumes,Perfume Mujer,77478.54,5.0,387392.7,Tienda oficial,Reacondicionado,Tarjeta,Ruperta Coloma Cuesta,remedios62@hotmail.com,+34 830 39 79 60,Retiro en local,Excelente
8ee1d48e-267a-4550-96b9-92589e4edfff,28/11/2024,Rocha,Castillos,Alimentos,Conservas,Duraznos en Almíbar,18040.51,4.0,72162.04,Particular,Reacondicionado,Cripto,Feliciana Carbó,isaac22@gmail.com,+34 655 221 418,Retiro en local,Excelente
6e5c787e-6663-4147-8976-3848747cb53e,7/9/2024,Soriano,Dolores,Libros,Arte,El Quijote,11939.68,10.0,119396.8,Marketplace,Nuevo,Efectivo,Jose Ramón Diego Planas,fanny24@isern.es,+34 978 26 57 61,Envío a domicilio,Regular
f5b45284-bdfc-4de0-9803-4e8eaf9d1b53,14/9/2024,Soriano,Cardona,Ropa,Calzado,Zapatos de Cuero,87783.14,10.0,877831.4,Tienda oficial,Reacondicionado,Cripto,Edelmira Espada,acedogerman@gmail.com,+34 749924954,Retiro en local,Excelente
75381231-bfff-4686-8aea-ab9e744457f0,21/6/2025,Tacuarembó,Tacuarembó,Hogar,Electrodomésticos,Licuadora,50744.06,4.0,202976.24,Tienda oficial,Reacondicionado,Tarjeta,Gilberto Paz Andrade,llorensfito@yahoo.com,+34 982440842,Retiro en local,Buena
4bd63891-4718-4c2c-abb9-c0943bb07d10,15/1/2025,Rivera,Tranqueras,Libros,Textos Escolares,Matemáticas 5to Año,47516.28,8.0,380130.24,Marketplace,Nuevo,Cripto,Juan Manuel Novoa Adadia,linoserna@hotmail.com,+34636 45 82 06,Retiro en local,Regular
28f70325-e947-46bc-8884-c56fa3f15ce1,22/8/2024,Río Negro,Young,Deportes,Fitness,Bicicleta Fija,94700.32,1.0,94700.32,Tienda oficial,Usado,Efectivo,Rosendo Miguel Rodrigo Sanz,dbarrios@hotmail.com,34710804753,Retiro en local,Excelente
ad268e8c-bc59-4000-8860-14eed6508f13,17/12/2024,Cerro Largo,Melo,Automotriz,Lubricantes,Aceite de Motor,48767.25,10.0,487672.5,Particular,Reacondicionado,Cripto,Pacífica Cerezo,rouranoe@moraleda-llado.org,34721739005,Envío a domicilio,Regular
bc7adf20-2069-4e46-88e2-48e6034733f9,29/3/2025,Treinta y Tres,Santa Clara de Olimar,Hogar,Decoración,Cuadros Decorativos,55017.26,4.0,220069.04,Tienda oficial,Usado,Transferencia,Calisto Ferrán,trinidadatienza@escribano-padilla.com,+34919 924 418,Envío a domicilio,Mala
6d618dca-ec14-41ac-87cd-309d81958e85,7/4/2025,San José,Rafael Perazza,Deportes,Tenis,Raqueta de Tenis,32793.87,6.0,196763.22,Marketplace,Nuevo,Tarjeta,Eleuterio Ordóñez Bayo,barreramiriam@lorenzo.org,+34 735 54 85 14,Retiro en local,Buena
08a8fe57-1d61-4c4d-8e07-235cc7f550e1,29/1/2025,Tacuarembó,San Gregorio de Polanco,Belleza,Cuidado del Cuerpo,Jabón Artesanal,1774.04,1.0,1774.04,Particular,Nuevo,Tarjeta,Yéssica Martinez-Fabra,escuderoevelia@echevarria.net,+34 737 552 101,Envío a domicilio,Regular
b8f71761-bcec-420d-9049-e6290c7d2e18,21/5/2025,Rocha,Lascano,Electrónica,Imagen,Smart TV,52620.77,5.0,263103.85,Particular,Reacondicionado,Tarjeta,Godofredo Manzanares Carrión,segarraileana@mayol-izquierdo.com,+34 658954572,Envío a domicilio,Mala
aadfb612-e69a-4eea-8d31-dd598d40860a,26/8/2024,Canelones,Canelones,Automotriz,Repuestos,Filtro de Aceite,27639.98,10.0,276399.8,Tienda oficial,Usado,Cripto,Pilar de Granados,alvaroandrade@velazquez.com,+34741 551 471,Envío a domicilio,Excelente
e0032564-1526-4ed4-9028-9152a740607a,24/3/2025,Canelones,Santa Rosa,Salud,Vitaminas,Multivitamínico,61984.18,5.0,309920.9,Marketplace,Usado,Tarjeta,Eloy Colom Peñalver,mauriciomesa@pelaez-vallejo.net,34937259742,Envío a domicilio,Regular
dcb85d72-ba90-45f1-84ee-9cf2a39754cd,3/6/2025,Artigas,Baltasar Brum,Salud,Cuidado Personal,Desodorante,2020.17,2.0,4040.34,Particular,Reacondicionado,Cripto,Maribel Tamara Morillo Porta,vleon@soria.com,+34 712574921,Retiro en local,Buena
6bbc0f30-6e75-46a4-b1a4-a209999f56cc,18/4/2025,Salto,Colonia Lavalleja,Juguetes,Aire Libre,Cometa,67888.99,4.0,271555.96,Marketplace,Usado,Transferencia,Sandalio de Anglada,emilia61@perales-mir.org,+34721 922 889,Retiro en local,Mala
8488581d-d58d-4e7f-b093-b9e78b1d6752,21/3/2025,Rocha,19 de Abril,Ropa,Vestidos,Vestido de Fiesta,44680.24,9.0,402122.16,Tienda oficial,Reacondicionado,Transferencia,Guadalupe Manuela Alegria Revilla,jose-miguelbarcena@hotmail.com,+34 858 330 846,Envío a domicilio,Excelente
b085a370-16b3-4a94-9b67-4ff10d2a6683,22/4/2025,Soriano,Palmitas,Ropa,Accesorios,Bufanda de Lana,6266.4,2.0,12532.8,Tienda oficial,Nuevo,Efectivo,Iris Luque Márquez,mayoralmaximiano@gmail.com,+34 708001450,Retiro en local,Buena
9bd9ea11-9fd8-4a61-a511-b06103d49268,18/4/2025,Colonia,Nueva Helvecia,Electrónica,TV y Video,"Smart TV 55""",61912.05,10.0,619120.5,Tienda oficial,Reacondicionado,Tarjeta,Leonel Ariño Perelló,perlasolano@hotmail.com,+34728 540 558,Envío a domicilio,Excelente
64382879-984b-4b29-8b67-0a49a14bde2d,29/12/2024,Canelones,San Ramón,Ropa,Abrigos,Tapado de Invierno,42830.09,9.0,385470.81,Marketplace,Usado,Transferencia,Cosme Frías Arnau,patinovaleria@iborra.com,+34 704445905,Envío a domicilio,Buena
5af6643e-06e1-4abe-824c-340db2bd68c4,22/1/2025,Colonia,Rosario,Hogar,Menaje,Vajilla Completa,15697.86,4.0,62791.44,Tienda oficial,Reacondicionado,Transferencia,Encarna Cortés Serrano,florinda03@llorente.com,+34708 883 732,Envío a domicilio,Regular
,,,,,,,,,,,,,,,,,
28fd81b5-b755-4d82-97e9-0119b5e48655,26/03/2025,Rocha,Palmitas,Hogar,Ropa Deportiva,Duraznos en Almíbar,54476.71,9.0,490290.39,Marketplace,Usado,Efectivo,Elba Botella Tomás,xavieralamo@sabater.es,+34 739221571,Retiro en local,Mala
d9f36936-5bf0-4ee1-b9f5-45ed30fbec1b,26/06/2025,Maldonado,Juan Lacaze,Ropa,Camisetas,Labial Rojo,43956.82,1.0,43956.82,Particular,Usado,Tarjeta,Lucio Cabezas,elenaayuso@hotmail.com,+34 725962014,Envío a domicilio,Excelente
f249f95f-bd37-49d1-8772-fda334fdd6cb,17/12/2023,Lavalleja,Young,Deportes,Muebles,Monopoly,27142.54,3.0,81427.62,Marketplace,Usado,Transferencia,Isaías Bermudez-Ferrero,obusquets@diez-montero.com,+34667 52 84 27,Retiro en local,Buena
ed763a48-2bdf-42c5-836c-3394b45c0456,16/09/2023,Lavalleja,19 de Abril,Deportes,Fitness,Manguera de Riego,11743.49,7.0,82204.43,Particular,Usado,Efectivo,Alex Lucena Roca,gracielapozo@gmail.com,+34 864 444 511,Retiro en local,Regular
d4aeb546-b3e5-49ee-a0b9-2b5b5d7e3fe8,06/01/2025,Artigas,Young,Libros,Vestidos,Aspiradora Robot,16040.75,8.0,128326.0,Marketplace,Nuevo,Efectivo,Claudia Pardo Arnau,mbermudez@yahoo.com,+34746810049,Envío a domicilio,Mala
9ce720ad-56cb-49b6-9625-eda7259cce97,11/03/2024,Artigas,San José de Mayo,Deportes,Frenos,Cien años de soledad,40178.88,4.0,160715.52,Marketplace,Usado,Tarjeta,Hermenegildo Blanco Perera,lidiabelmonte@yahoo.com,+34 737 981 880,Envío a domicilio,Excelente
e09d418d-e2a5-4343-b78d-2d394443fbbf,23/05/2025,Durazno,Lascano,Alimentos,Natación,Calzas de Running,48159.68,8.0,385277.44,Marketplace,Reacondicionado,Cripto,Paula Varela Mesa,tatianamartin@franco.net,+34 611 452 922,Retiro en local,Buena
12b6b4d4-e9e2-421e-b2c6-3d05c8d3661c,01/03/2025,Florida,Melo,Alimentos,Lácteos,Bicicleta Fija,27626.02,3.0,82878.06,Tienda oficial,Reacondicionado,Efectivo,Lupita Barrios Sales,duquefelicia@yahoo.com,+34 704589088,Envío a domicilio,Buena
ce54c042-4c70-4d81-847f-70b4d8b64485,22/12/2023,Montevideo,Trinidad,Deportes,Iluminación,Manguera de Riego,74918.14,7.0,524426.98,Marketplace,Usado,Efectivo,Almudena Dalila Lloret Hernando,eulalia85@hotmail.com,+34707 822 867,Retiro en local,Buena
b246ed1d-edf7-46e0-af28-d3dd96000787,15/04/2024,Cerro Largo,Young,Salud,Ropa Deportiva,Castrol,54994.6,9.0,494951.4,Particular,Reacondicionado,Efectivo,Priscila Tudela-Cepeda,vidal72@zabala.org,,Retiro en local,Mala
4c71a169-32ac-4abd-8e1a-cc7fd6d62650,21/09/2024,Tacuarembó,Sarandí Grande,Juguetes,Vitaminas,Puzzle 1000 piezas,41982.61,3.0,125947.83,Tienda oficial,Nuevo,Cripto,Petrona Paulina Grande Pallarès,damian55@barbera.net,+34 739 270 588,Retiro en local,Mala
6fcafa85-530f-48ae-89c3-642bde2b96d3,26/11/2023,Rivera,Constitución,Salud,Repuestos,Dune,59729.18,2.0,119458.36,Particular,Usado,Transferencia,Ángel Ortega Lladó,aguedaprat@perello-galvez.es,+34 978 83 18 29,Envío a domicilio,Buena
4a6c608d-d47b-4b1d-bbc9-53df1fb96972,23/10/2023,Rivera,Carmelo,Hogar,Aceites,Espejo de Pared,55998.07,4.0,223992.28,Particular,Nuevo,Tarjeta,Cruz Amat Ródenas,baudelio02@beltran-amor.org,+34730 927 443,Retiro en local,Regular
33404f86-f542-433b-8d2c-6a5d4ca0c525,02/05/2025,Salto,San Gregorio de Polanco,Salud,Arte,Michelin,82453.89,3.0,247361.67,Marketplace,Nuevo,Efectivo,Cesar Adrián Acuña Sandoval,hervasale@muniz.org,+34 693 471 466,Envío a domicilio,Excelente
61d719d2-1177-4c95-b532-82fb3d7a9605,14/10/2024,Tacuarembó,Melo,Deportes,Accesorios,Multivitamínico,63489.79,3.0,190469.37,Particular,Reacondicionado,Efectivo,Maximino Roura Blázquez,oguillen@tejero.com,+34 635549133,Envío a domicilio,Mala
3cfd0462-05f0-4e1c-b5d5-e9b25d3c86ab,27/10/2023,Artigas,Trinidad,Libros,Bebidas,Aceite de Motor,89395.08,7.0,625765.56,Particular,Nuevo,Tarjeta,Carla Montenegro Pinilla,tenoriopetrona@vicens.org,+34 740 686 931,Retiro en local,Buena
1e00e846-be04-4fc1-9aaf-23f7c4bf4375,03/07/2023,Treinta y Tres,Colonia Lavalleja,Automotriz,Bebidas,Dune,92815.12,7.0,649705.84,Marketplace,Reacondicionado,Cripto,Elodia Bermudez Peralta,ssalva@gmail.com,+34 718 391 384,Envío a domicilio,Mala
c5aa2651-ea0d-467c-96bd-7c08de5a0119,21/06/2024,Maldonado,Belén,Hogar,Equipamiento,Vestido de Fiesta,87603.48,1.0,87603.48,Particular,Reacondicionado,Transferencia,Fabián Yuste-Bermúdez,cobosjavi@gmail.com,+34727 929 935,Envío a domicilio,Mala
4424c88e-cb31-488a-8bad-c85532cf9407,06/04/2025,Florida,San Ramón,Ropa,Equipamiento,Zapatillas deportivas,20263.46,9.0,182371.14,Marketplace,Usado,Efectivo,Silvia Palomar Guerrero,tadeo25@hotmail.com,+34 741 79 05 98,Envío a domicilio,Mala
7a226cfd-3845-4d4b-90bf-2a274a980f48,08/10/2024,Montevideo,San Ramón,Juguetes,Maquillaje,Cepillo de Dientes Eléctrico,87397.72,3.0,262193.16,Tienda oficial,Usado,Tarjeta,Clímaco Agullo-Arce,nanton@yahoo.com,+34 725 66 16 58,Retiro en local,Excelente
576ee100-859a-4e41-ba56-08e2ef63863d,25/05/2025,Río Negro,Baltasar Brum,Alimentos,Frenos,Manguera de Riego,49728.32,7.0,348098.24,Particular,Reacondicionado,Cripto,Sofía Rivera Frutos,blanca05@calatayud.es,+34 739652391,Envío a domicilio,Regular
18b81b1a-34e2-4b7c-9186-44e78d329111,20/07/2024,Río Negro,Young,Salud,Figuras de acción,Cometa,27916.92,10.0,279169.2,Particular,Nuevo,Cripto,Cruz Martin-Araujo,jaumelazaro@moll.com,+34729691263,Retiro en local,Mala
05a27d71-33e3-4bda-abf4-1406c8b15c24,18/10/2023,Treinta y Tres,Melo,Automotriz,Cocina,Barbie,64357.06,2.0,128714.12,Particular,Reacondicionado,Transferencia,Abril Andrés Aragonés,marinosimo@castro-alcantara.es,+34 973509786,Envío a domicilio,Excelente
ba09bf12-1a19-482c-ac96-6f1b466fe064,07/09/2023,Montevideo,Rocha,Juguetes,Conservas,Vestido de Fiesta,51726.0,1.0,51726.0,Marketplace,Reacondicionado,Tarjeta,Edelmiro Vizcaíno Calzada,sanmartintere@yahoo.com,+34701165986,Retiro en local,Buena
be5af7d8-acff-4c9f-9f5a-b255931b2aff,05/07/2024,Artigas,Sarandí Grande,Belleza,Menaje,Pan de Campo,65065.58,4.0,260262.32,Tienda oficial,Reacondicionado,Transferencia,Sergio Nilo Múgica Valdés,ncarpio@godoy.com,+34 902 97 43 10,Retiro en local,Mala
9467eff2-d233-4a4f-82f1-8986d8fe1d53,04/04/2024,Colonia,Cerro Chato,Ropa,Conservas,Cometa,81157.47,8.0,649259.76,Tienda oficial,Usado,Efectivo,Alejandro Salcedo Garcés,humbertofeliu@hotmail.com,+34 606 03 73 21,Envío a domicilio,Excelente
ab6289de-55bd-4849-8fe2-ea33ff6b7890,30/10/2023,Flores,Young,Ropa,Jardín,Shampoo,71026.42,7.0,497184.94,Particular,Reacondicionado,Transferencia,Felisa Pazos-Fuertes,qojeda@yahoo.com,+34 708 239 972,Retiro en local,Regular
eef6353a-0661-4afa-bc0f-e7a1dbc36152,30/05/2025,Maldonado,Florida,Hogar,Ciencia Ficción,Vestido de Fiesta,83648.82,2.0,167297.64,Tienda oficial,Reacondicionado,Efectivo,Hortensia Canales-Macias,buenaventura17@yahoo.com,+34837 228 077,Envío a domicilio,Regular
24376e09-433e-4c3c-8950-359efb828851,04/10/2024,Rivera,Carmelo,Juguetes,Pantalones,Vitamina C,89364.18,10.0,893641.8,Tienda oficial,Nuevo,Cripto,Amor Santana Alcántara,aurelia05@yahoo.com,+34 829812738,Retiro en local,Buena
883cf844-0d72-4ac8-a4fd-8c1b715fcbf8,11/06/2025,Durazno,Rivera,Belleza,Jardín,Superman,80808.86,1.0,80808.86,Tienda oficial,Usado,Tarjeta,Olegario Mínguez Caballero,reyes95@sevillano.es,+34726 284 014,Retiro en local,Excelente
b14c5bb8-6438-4fa6-aad9-d9f79ac7307d,30/04/2024,Cerro Largo,Castillos,Ropa,Figuras de acción,Cepillo de Dientes Eléctrico,74999.85,3.0,224999.55,Tienda oficial,Usado,Efectivo,Celestino Mora,caridadmoliner@ayllon.org,+34612707409,Retiro en local,Regular
b037e6a5-9991-4343-b5a7-122782173cb8,02/12/2024,Salto,Young,Ropa,Decoración,Michelin,86818.58,10.0,868185.8,Particular,Nuevo,Cripto,Eric Gómez Gonzalo,susana48@moles.es,+34806748485,Retiro en local,Excelente
06ae0afd-37f4-421b-b129-e3fd77108239,22/01/2024,Tacuarembó,Sarandí Grande,Electrónica,Ciencia Ficción,Carpa para 4 personas,70752.04,8.0,566016.32,Marketplace,Reacondicionado,Efectivo,Abigaíl Clavero Pintor,armasdan@hotmail.com,+34 738 702 320,Retiro en local,Regular
07f54bf8-adf8-420b-91eb-036daaee21a2,04/12/2023,Rocha,Maldonado,Alimentos,Camisetas,Botella de Agua,12202.96,10.0,122029.6,Marketplace,Usado,Efectivo,Abilio Ayllón Arcos,valerojose-ramon@yahoo.com,+34 711 59 12 38,Envío a domicilio,Excelente
